user_id,date,direction,internal,operator_id,is_missed_call,calls_count,call_duration,total_call_duration
166377,2019-08-04 00:00:00+03:00,in,False,,True,2,0,4
166377,2019-08-05 00:00:00+03:00,out,True,880022,True,3,0,5
166377,2019-08-05 00:00:00+03:00,out,True,880020,True,1,0,1
166377,2019-08-05 00:00:00+03:00,out,True,880020,False,1,10,18
166377,2019-08-05 00:00:00+03:00,out,False,880022,True,3,0,25
166377,2019-08-05 00:00:00+03:00,out,False,880020,False,2,3,29
166377,2019-08-05 00:00:00+03:00,out,False,880020,True,8,0,50
166377,2019-08-05 00:00:00+03:00,in,False,,True,6,0,35
166377,2019-08-05 00:00:00+03:00,out,False,880020,True,8,0,50
166377,2019-08-06 00:00:00+03:00,in,False,,True,4,0,62
166377,2019-08-06 00:00:00+03:00,out,False,881278,True,3,0,29
166377,2019-08-06 00:00:00+03:00,out,False,880020,True,5,0,70
166377,2019-08-06 00:00:00+03:00,out,True,881278,True,2,0,5
166377,2019-08-06 00:00:00+03:00,out,False,880020,False,5,800,819
166377,2019-08-07 00:00:00+03:00,out,False,880028,True,1,0,15
166377,2019-08-07 00:00:00+03:00,out,False,880026,False,1,21,28
166377,2019-08-07 00:00:00+03:00,out,False,880020,False,2,232,240
166377,2019-08-07 00:00:00+03:00,in,False,,True,2,0,24
166377,2019-08-07 00:00:00+03:00,out,False,880026,True,1,0,17
166377,2019-08-08 00:00:00+03:00,out,False,880022,False,2,558,568
166377,2019-08-08 00:00:00+03:00,out,False,880022,True,4,0,28
166377,2019-08-09 00:00:00+03:00,out,False,880028,False,17,1603,1725
166377,2019-08-09 00:00:00+03:00,out,False,880028,True,2,0,2
166377,2019-08-09 00:00:00+03:00,out,False,880022,True,2,0,10
166377,2019-08-12 00:00:00+03:00,out,False,880028,False,20,2074,2191
166377,2019-08-12 00:00:00+03:00,out,True,880028,True,1,0,26
166377,2019-08-12 00:00:00+03:00,in,False,880028,False,1,407,411
166377,2019-08-12 00:00:00+03:00,in,False,,True,2,0,34
166377,2019-08-12 00:00:00+03:00,in,False,,True,2,0,34
166377,2019-08-13 00:00:00+03:00,out,True,880026,True,2,0,23
166377,2019-08-13 00:00:00+03:00,in,False,,True,7,0,128
166377,2019-08-13 00:00:00+03:00,out,False,880026,False,4,258,287
166377,2019-08-13 00:00:00+03:00,out,True,880028,True,1,0,16
166377,2019-08-13 00:00:00+03:00,out,False,880028,False,10,647,788
