date_posted	days_listed	last_price	bedrooms	kitchen_area	living_area	total_area	balconies	ceiling_height	floors_total	floor	total_images	bike_parking	is_studio	is_open_plan	locality_name	airport_dist	city_center_dist	park_dist	parks_within_3000	pond_dist	ponds_within_3000
2019-03-07T00:00:00		260000.0	3	25.0	51.0	108.0		2.7	16.0	8	20		False	False	Saint Petersburg	18863.0	16028.0	482.0	1.0	755.0	2.0
2018-12-04T00:00:00	81.0	67000.0	1	11.0	18.6	40.4	2.0		11.0	1	7		False	False	Shushary village	12817.0	18603.0		0.0		0.0
2015-08-20T00:00:00	558.0	103920.0	2	8.3	34.3	56.0	0.0		5.0	4	10		False	False	Saint Petersburg	21741.0	13933.0	90.0	1.0	574.0	2.0
2015-07-24T00:00:00	424.0	1298000.0	3			159.0	0.0		14.0	9	0		False	False	Saint Petersburg	28098.0	6800.0	84.0	2.0	234.0	3.0
2018-06-19T00:00:00	121.0	200000.0	2	41.0	32.0	100.0		3.03	14.0	13	2		False	False	Saint Petersburg	31856.0	8098.0	112.0	2.0	48.0	1.0
2018-09-10T00:00:00	55.0	57800.0	1	9.1	14.4	30.4			12.0	5	10		False	False	Yanino-1 village						
2017-11-02T00:00:00	155.0	74000.0	1	14.4	10.6	37.3	1.0		26.0	6	6		False	False	Pargolovo village	52996.0	19143.0		0.0		0.0
2019-04-18T00:00:00		158300.0	2	18.9		71.6	2.0		24.0	22	5		False	False	Saint Petersburg	23982.0	11634.0		0.0		0.0
2018-05-23T00:00:00	189.00000000000003	58000.0	1	8.81	15.43	33.16			27.0	26	20		False	False	Murino village						
2017-02-26T00:00:00	289.0	108000.0	3	6.5	43.6	61.0	2.0	2.5	9.0	7	18		False	False	Saint Petersburg	50898.0	15008.0		0.0		0.0
2017-11-16T00:00:00	137.0	101000.0	1	8.5	20.3	39.6		2.67	12.0	3	5		False	False	Saint Petersburg	38357.0	13878.0	310.0	1.0	553.0	2.0
2018-08-27T00:00:00	7.0	66000.0	2	6.0	31.0	44.0	1.0		5.0	4	9	False	False	False	Lomonosov	48252.0	51677.0		0.0		0.0
2016-06-30T00:00:00	90.00000000000001	77800.0	2	9.0	30.0	54.0	0.0		5.0	5	10		False	False	Sertolovo						
