id,user_id,message_date
1000_125,1000,2018-12-27
1000_160,1000,2018-12-31
1000_223,1000,2018-12-31
1000_251,1000,2018-12-27
1000_255,1000,2018-12-26
1000_346,1000,2018-12-29
1000_386,1000,2018-12-30
1000_413,1000,2018-12-31
1000_502,1000,2018-12-27
1000_525,1000,2018-12-28
1000_567,1000,2018-12-25
1001_1,1001,2018-11-14
1001_2,1001,2018-08-17
1001_5,1001,2018-12-05
1001_7,1001,2018-11-28
1001_9,1001,2018-10-23
1001_10,1001,2018-09-01
1001_11,1001,2018-11-18
1001_17,1001,2018-12-11
1001_18,1001,2018-10-01
1001_19,1001,2018-09-13
1001_21,1001,2018-12-30
1001_23,1001,2018-08-23
1001_25,1001,2018-10-10
1001_30,1001,2018-12-14
1001_32,1001,2018-09-11
1001_34,1001,2018-10-09
1001_35,1001,2018-09-18
1001_37,1001,2018-09-06
1001_39,1001,2018-09-13
1001_44,1001,2018-08-19
1001_46,1001,2018-12-17
1001_47,1001,2018-12-23
1001_48,1001,2018-11-08
1001_49,1001,2018-12-25
1001_50,1001,2018-10-18
1001_52,1001,2018-09-20
1001_54,1001,2018-09-01
1001_58,1001,2018-12-06
1001_60,1001,2018-08-22
1001_63,1001,2018-09-19
1001_65,1001,2018-10-21
1001_66,1001,2018-12-10
1001_69,1001,2018-10-19
1001_70,1001,2018-09-10
1001_71,1001,2018-09-18
1001_72,1001,2018-10-19
1001_73,1001,2018-09-28
1001_75,1001,2018-11-25
1001_76,1001,2018-10-30
1001_80,1001,2018-10-12
1001_82,1001,2018-08-24
1001_83,1001,2018-12-25
1001_89,1001,2018-10-31
1001_91,1001,2018-08-15
1001_92,1001,2018-12-10
1001_94,1001,2018-11-25
1001_95,1001,2018-08-31
1001_96,1001,2018-08-29
1001_97,1001,2018-12-05
1001_98,1001,2018-12-10
1001_99,1001,2018-09-17
1001_102,1001,2018-12-26
1001_103,1001,2018-10-11
1001_111,1001,2018-08-22
1001_112,1001,2018-11-03
1001_115,1001,2018-10-11
1001_116,1001,2018-11-28
1001_117,1001,2018-11-13
1001_118,1001,2018-09-09
1001_119,1001,2018-10-06
1001_120,1001,2018-09-02
1001_121,1001,2018-10-26
1001_126,1001,2018-11-15
1001_129,1001,2018-10-29
1001_130,1001,2018-10-30
1001_131,1001,2018-08-29
1001_132,1001,2018-08-31
1001_133,1001,2018-12-17
1001_134,1001,2018-11-10
1001_138,1001,2018-12-21
1001_139,1001,2018-09-25
1001_143,1001,2018-10-09
1001_144,1001,2018-12-30
1001_146,1001,2018-12-07
1001_151,1001,2018-09-02
1001_153,1001,2018-12-20
1001_155,1001,2018-11-15
1001_156,1001,2018-11-13
1001_158,1001,2018-09-27
1001_160,1001,2018-10-17
1001_162,1001,2018-10-31
1001_166,1001,2018-09-02
1001_167,1001,2018-12-14
1001_168,1001,2018-12-20
1001_173,1001,2018-11-25
1001_174,1001,2018-10-16
1001_179,1001,2018-11-03
1001_180,1001,2018-08-29
1001_181,1001,2018-09-19
1001_182,1001,2018-09-19
1001_183,1001,2018-10-26
1001_186,1001,2018-08-30
1001_190,1001,2018-10-13
1001_192,1001,2018-08-15
1001_198,1001,2018-11-19
1001_200,1001,2018-12-10
1001_201,1001,2018-10-28
1001_203,1001,2018-11-10
1001_204,1001,2018-10-25
1001_207,1001,2018-11-14
1001_210,1001,2018-10-12
1001_212,1001,2018-08-15
1001_213,1001,2018-09-06
1001_214,1001,2018-10-20
1001_215,1001,2018-08-31
1001_217,1001,2018-10-14
1001_221,1001,2018-12-13
1001_222,1001,2018-12-25
1001_228,1001,2018-08-23
1001_230,1001,2018-11-15
1001_232,1001,2018-10-26
